Song,Artist,Popularity,URI
Candle Flame,Jungle,66,59oA5WbbQvomJz2BuRG071
Rich One Day,Sheck Wes,33,2RDOrhPqAM4jzTRCEb19qX
#BEENBALLIN,Sheck Wes,41,2RDOrhPqAM4jzTRCEb19qX
LFG!,Sheck Wes,42,2RDOrhPqAM4jzTRCEb19qX
Mindfucker,Sheck Wes,47,2RDOrhPqAM4jzTRCEb19qX
Live Sheck Wes,Sheck Wes,60,2RDOrhPqAM4jzTRCEb19qX
Gmail,Sheck Wes,46,2RDOrhPqAM4jzTRCEb19qX
Wanted,Sheck Wes,40,2RDOrhPqAM4jzTRCEb19qX
Chippi Chippi,Sheck Wes,45,2RDOrhPqAM4jzTRCEb19qX
Never Lost,Sheck Wes,36,2RDOrhPqAM4jzTRCEb19qX
WESPN,Sheck Wes,56,2RDOrhPqAM4jzTRCEb19qX
Kyrie,Sheck Wes,39,2RDOrhPqAM4jzTRCEb19qX
Mo Bamba,Sheck Wes,0,2RDOrhPqAM4jzTRCEb19qX
Burn Slow - Interlude,Sheck Wes,38,2RDOrhPqAM4jzTRCEb19qX
Jiggy On The Shits,Sheck Wes,36,2RDOrhPqAM4jzTRCEb19qX
Fuck Everybody,Sheck Wes,38,2RDOrhPqAM4jzTRCEb19qX
Danimals,Sheck Wes,35,2RDOrhPqAM4jzTRCEb19qX
Vetements Socks,Sheck Wes,36,2RDOrhPqAM4jzTRCEb19qX
HOTEL LOBBY (Unc & Phew),Quavo,75,0VRj0yCOv2FXJNP47XQnx5
BALD! REMIX,JPEGMAFIA,44,6yJ6QQ3Y5l0s0tn7b0arrO
Back (feat. Lil Yachty),Lil Pump,42,3wyVrVrFCkukjdVIdirGVY
Half Doin Dope (with BabyTron feat. Lil Yachty),JID,68,6U3ybJ9UHNKEdsH7ktGBZ7
Van Gogh (feat. Lil Yachty),JID,66,6U3ybJ9UHNKEdsH7ktGBZ7
BLOOD ON MY NIKEZ [Feat. Juicy J],Denzel Curry,62,6fxyWrfmjcbj5d12gXeiNV
Strike (Holster),Lil Yachty,75,6icQOAFXDZKsumw3YXyusw
Blood Moon (feat. Lil Uzi Vert),Mike WiLL Made-It,75,0NWbwDZY1VkRqFafuQm6wk
Runway,Pokelawls,30,0b6qCdAWpAMUYdLQLbmOip
My wrist (with Young Thug),Yeat,76,3qiHUAX7zY4Qnjx8TNUzVx
Light Up,Drake,54,3TVXtAsR1Inumwj472S9r4
Kings & Queens,Lil Double 0,45,4uKEP0JYfpFtngWlgViewd
I'm Mad At Me (feat. Lil Wayne),Trippie Redd,67,6Xgp2XMz1fhVYe7i6yNAax
Pass the Water,Raé Luna,50,4eboDwgkxA3LfyQIEkW2mJ
I'm On One,DJ Khaled,72,0QHgL1lAIqAw0HtD7YldmP
You,Mk.gee,0,7tr9pbgNEKtG0GQTKe08Tz
Beautiful,Eminem,72,7dGJo4pcD2V6oG8kP0tJRR
No Mistakes,Kanye West,0,5K4W6rqBFWDnAN6FQUkS6x
Matt Hardy 999 (feat. Juice WRLD),Trippie Redd,0,6Xgp2XMz1fhVYe7i6yNAax
Survival,Jontha Links,7,7Ln3gaFhj7V95vXvKH0wXq
Nonstop,Drake,0,3TVXtAsR1Inumwj472S9r4
Elevate,Drake,63,3TVXtAsR1Inumwj472S9r4
Emotionless,Drake,69,3TVXtAsR1Inumwj472S9r4
God's Plan,Drake,1,3TVXtAsR1Inumwj472S9r4
I'm Upset,Drake,0,3TVXtAsR1Inumwj472S9r4
8 Out Of 10,Drake,63,3TVXtAsR1Inumwj472S9r4
Mob Ties,Drake,72,3TVXtAsR1Inumwj472S9r4
Can’t Take A Joke,Drake,70,3TVXtAsR1Inumwj472S9r4
Sandra’s Rose,Drake,0,3TVXtAsR1Inumwj472S9r4
Talk Up (feat. Jay-Z),Drake,61,3TVXtAsR1Inumwj472S9r4
Is There More,Drake,0,3TVXtAsR1Inumwj472S9r4
Peak,Drake,62,3TVXtAsR1Inumwj472S9r4
Summer Games,Drake,62,3TVXtAsR1Inumwj472S9r4
Jaded,Drake,72,3TVXtAsR1Inumwj472S9r4
Nice For What,Drake,11,3TVXtAsR1Inumwj472S9r4
Finesse,Drake,77,3TVXtAsR1Inumwj472S9r4
Ratchet Happy Birthday,Drake,56,3TVXtAsR1Inumwj472S9r4
That’s How You Feel,Drake,67,3TVXtAsR1Inumwj472S9r4
Blue Tint,Drake,0,3TVXtAsR1Inumwj472S9r4
In My Feelings,Drake,0,3TVXtAsR1Inumwj472S9r4
Don’t Matter To Me (with Michael Jackson),Drake,72,3TVXtAsR1Inumwj472S9r4
After Dark (feat. Static Major & Ty Dolla $ign),Drake,60,3TVXtAsR1Inumwj472S9r4
Final Fantasy,Drake,58,3TVXtAsR1Inumwj472S9r4
March 14,Drake,56,3TVXtAsR1Inumwj472S9r4
Cog In The Machine,Bobby Sessions,20,1URwpSLjCBhRjnw4SUwNyL
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,66,0Y5tJX1MQlPlqiwlOH1tJY
I Got the Keys (feat. Jay-Z & Future),DJ Khaled,50,0QHgL1lAIqAw0HtD7YldmP
For Free (feat. Drake),DJ Khaled,61,0QHgL1lAIqAw0HtD7YldmP
Nas Album Done (feat. Nas),DJ Khaled,43,0QHgL1lAIqAw0HtD7YldmP
"Holy Key (feat. Big Sean, Kendrick Lamar & Betty Wright)",DJ Khaled,42,0QHgL1lAIqAw0HtD7YldmP
